Countries,Type,Amount 
Mozambique,Balance2017,-2685
Burundi,Balance2017,-2666
Madagascar,Balance2019,-2654
Burkina Faso,Balance2016,-2639
Burkina Faso,Balance2020,-2614
Burkina Faso,Balance2019,-2613
Bahamas,Balance2020,-2605
Lesotho,Balance2019,-2582
Venezuela,Balance2019,-2556
Lesotho,Balance2020,-2555
Guyana,Balance2020,-2550
Cuba,Balance2019,-2527
Demo. Rep. Korea,Balance2017,-2520
Malawi,Balance2016,-2503
Cayman Islands,Balance2019,-2497
Chad,Balance2017,-2463
Tajikistan,Balance2017,-2448
French Polynesia,Balance2019,-2421
Republic of Congo,Balance2018,-2414
Tajikistan,Balance2020,-2411
Liberia,Balance2019,-2400
Chad,Balance2018,-2397
Mozambique,Balance2020,-2392
Madagascar,Balance2020,-2351
French Polynesia,Balance2018,-2337
Tajikistan,Balance2016,-2331
Papua New Guinea,Balance2018,-2325
Burundi,Balance2016,-2315
Tajikistan,Balance2019,-2280
Tajikistan,Balance2018,-2279
French Polynesia,Balance2017,-2268
Somalia,Balance2020,-2223
Republic of Congo,Balance2020,-2211
Guyana,Balance2017,-2163
Aruba,Balance2020,-2160
Madagascar,Balance2016,-2131
Lesotho,Balance2018,-2124
Burkina Faso,Balance2017,-2102
Equatorial Guinea,Balance2018,-2082
Cayman Islands,Balance2020,-2068
Mozambique,Balance2016,-2023
Antigua and Barbuda,Balance2016,-1979
Sierra Leone,Balance2019,-1965
Suriname,Balance2019,-1965
Saint Lucia,Balance2019,-1927
Faroe Islands,Balance2019,-1919
Timor-Leste,Balance2019,-1907
Afghanistan,Balance2019,-1903
Greenland,Balance2019,-1886
Suriname,Balance2018,-1878
Equatorial Guinea,Balance2019,-1821
Saint Lucia,Balance2017,-1819
Antigua and Barbuda,Balance2018,-1810
Bhutan,Balance2019,-1806
Papua New Guinea,Balance2017,-1798
Grenada,Balance2016,-1793
Venezuela,Balance2018,-1779
Bhutan,Balance2020,-1775
Saint Lucia,Balance2018,-1754
Greenland,Balance2020,-1738
Guinea-Bissau,Balance2019,-1729
Cuba,Balance2020,-1724
Antigua and Barbuda,Balance2019,-1722
South Sudan,Balance2020,-1708
Antigua and Barbuda,Balance2017,-1707
Cayman Islands,Balance2018,-1696
Papua New Guinea,Balance2019,-1665
Greenland,Balance2018,-1646
Guinea-Bissau,Balance2020,-1638
Seychelles,Balance2019,-1619
Seychelles,Balance2018,-1612
Faroe Islands,Balance2018,-1553
Lao PDR,Balance2018,-1539
Equatorial Guinea,Balance2016,-1535
Chad,Balance2016,-1510
Cabo Verde,Balance2019,-1489
Equatorial Guinea,Balance2017,-1488
Timor-Leste,Balance2018,-1486
Cayman Islands,Balance2017,-1477
Cayman Islands,Balance2016,-1474
Papua New Guinea,Balance2020,-1457
Democratic Republic of the Congo,Balance2016,-1447
Guinea,Balance2016,-1443
Timor-Leste,Balance2020,-1432
Suriname,Balance2017,-1420
Mauritania,Balance2016,-1401
Mauritania,Balance2019,-1393
Seychelles,Balance2017,-1375
Sierra Leone,Balance2016,-1353
Timor-Leste,Balance2017,-1341
Democratic Republic of the Congo,Balance2018,-1317
Bhutan,Balance2018,-1317
Syria,Balance2020,-1314
Seychelles,Balance2016,-1304
Sierra Leone,Balance2017,-1289
Suriname,Balance2020,-1287
Cabo Verde,Balance2018,-1238
Sierra Leone,Balance2018,-1237
Mauritania,Balance2020,-1218
Mauritania,Balance2017,-1210
Mauritania,Balance2018,-1194
"Bonaire, Sint Eustatius and Saba",Balance2020,-1193
Equatorial Guinea,Balance2020,-1190
Cabo Verde,Balance2017,-1185
Democratic Republic of the Congo,Balance2017,-1175
French Polynesia,Balance2020,-1175
